Study,Variable Name,Description
Study 1,participant,participant number
Study 1,condition,assigned condition
Study 1,block,block number
Study 1,trial,trial number
Study 1,red,R color value of current stimulus
Study 1,green,G color value of current stimulus
Study 1,blue,B color value of current stimulus
Study 1,response,participant classification of current stimulus (binary)
Study 1,rt,reaction time
Study 1,duration,total task duration
Study 1,gender,Please indicate your gender:
Study 1,age,How old are you?
Study 1,ease,Did you find the task easy or difficult?
Study 1,handed,Are you right or left handed?
Study 1,glasses,"Do you wear corrective lenses? If so, are you wearing them right now?"
Study 1,colorblind,"Do you have normal color vision? If not, please be specific about the nature of your color blindness (ex: red­green colorblind, blue­yellow colorblind, etc). "
Study 1,language,Is English your only native language? 
Study 1,language_what,"Since you indicated that you grew up speaking languages other than English, please tell us what language(s) you grew up speaking: "
Study 1,hypothesis,What do you think this study was about? 
Study 1,difficulty_over_time,Do you think that it became easier or harder to find blue dots as the study progressed? 
Study 1,did_freq_change,Do you feel that the amount of blue dots in each series changed during the study? 
Study 1,freq1,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- In the first few series, I saw..."
Study 1,freq2,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- The the middle few series, I saw..."
Study 1,freq3,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- In the last few series, I saw..."
Study 2,participant,participant number
Study 2,condition,assigned condition
Study 2,block,block number
Study 2,trial,trial number
Study 2,red,R color value of current stimulus
Study 2,green,G color value of current stimulus
Study 2,blue,B color value of current stimulus
Study 2,response,participant classification of current stimulus (binary)
Study 2,rt,reaction time
Study 2,duration,total task duration
Study 2,gender,Please indicate your gender:
Study 2,age,How old are you?
Study 2,ease,Did you find the task easy or difficult?
Study 2,handedness,Are you right or left handed?
Study 2,glasses,"Do you wear corrective lenses? If so, are you wearing them right now?"
Study 2,colorblind,"Do you have normal color vision? If not, please be specific about the nature of your color blindness (ex: red­green colorblind, blue­yellow colorblind, etc). "
Study 2,english,Is English your only native language? 
Study 2,difficulty,Do you think that it became easier or harder to find blue dots as the study progressed? 
Study 2,did_freq_change,Do you feel that the amount of blue dots in each series changed during the study? 
Study 2,freq_bars_1,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- In the first few series, I saw..."
Study 2,freq_bars_2,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- The the middle few series, I saw..."
Study 2,freq_bars_3,"We want to get a sense of how many blue dots you think you saw at different times in the study. Please indicate, using the sliders below, your impressions about what proportion of the dots you saw were blue. If you have no idea, please check the box labeled ""Not sure"" instead of using the slider. -- In the last few series, I saw..."
Study 2,def,"By the end of the study, do you think that your definition of what counted as a ""blue"" dot changed? "
Study 2,MC,What did the instructions at the beginning of the study say about how the amount of blue dots would change over time? 
Study 3,participant,participant number
Study 3,condition,assigned condition
Study 3,block,block number
Study 3,trial,trial number
Study 3,trial_rgb,RGB values of current stimulus
Study 3,response,participant classification of current stimulus (binary)
Study 3,RT,reaction time
Study 3,color,blue value of current stimulus
Study 3,gender,Please indicate your gender:
Study 3,age,How old are you?
Study 3,ease,Did you find the task easy or difficult?
Study 3,handedness,Are you right or left handed?
