participant,condition,block,trial,red,green,blue,response,rt,duration,gender,age,ease,handed,glasses,colorblind,language,language_what,hypothesis,difficulty_over_time,did_freq_change,freq1,freq2,freq3
101,0,0,1,85,0,170,1,1.4147,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,2,54,0,201,2,0.22741,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,3,20,0,235,2,0.24942,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,4,51,0,204,2,0.00017758,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,5,72,0,183,1,0.3811,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,6,31,0,224,2,0.044686,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,7,21,0,234,2,0.066276,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,8,12,0,243,2,0.062535,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,9,66,0,189,1,0.16354,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,0,10,14,0,241,2,0.24417,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,11,18,0,237,2,0.57165,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,12,36,0,219,2,0.6669,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,13,71,0,184,1,0.60602,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,14,46,0,209,2,0.55578,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,15,80,0,175,1,0.73182,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,16,23,0,232,2,0.65289,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,17,62,0,193,1,0.70461,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,18,74,0,181,1,0.65825,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,19,5,0,250,2,0.62203,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,20,58,0,197,1,0.53128,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,21,44,0,211,2,0.6285,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,22,14,0,241,2,0.52184,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,23,50,0,205,2,0.67506,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,24,6,0,249,2,0.56625,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,25,72,0,183,1,0.44542,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,26,63,0,192,1,0.58631,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,27,87,0,168,1,0.50497,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,28,73,0,182,1,0.55496,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,29,89,0,166,1,0.52293,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,30,49,0,206,2,0.69228,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,31,53,0,202,2,0.58267,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,32,33,0,222,2,0.41402,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,33,60,0,195,2,0.48413,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,34,79,0,176,1,0.39092,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,35,59,0,196,2,0.43789,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,36,100,0,155,1,0.52277,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,37,20,0,235,2,0.34815,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,38,3,0,252,2,0.46918,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,39,77,0,178,1,0.40074,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,40,22,0,233,2,0.38291,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,41,57,0,198,2,0.64581,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,42,12,0,243,2,0.34633,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,43,31,0,224,2,0.40337,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,44,7,0,248,2,0.32159,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,45,47,0,208,2,0.33946,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,46,56,0,199,2,0.3725,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,47,61,0,194,2,0.31617,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,48,67,0,188,1,0.67777,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,49,32,0,223,2,0.32095,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,50,75,0,180,1,0.32261,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,51,28,0,227,2,0.32446,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
101,0,1,52,39,0,216,2,0.57402,2125,female,23,5,right,1,0,0,,Not sure,unsure,no response,50,50,50
